Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
222,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,30,158,12.5,,4,,9
223,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,31,158,12.5,,4,,9
224,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,32,158,12.5,,4,,9
225,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,33,158,12.5,,4,,9
226,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,34,158,12.5,,4,,9
227,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,35,158,12.5,,4,,9
228,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,36,158,12.5,,4,,9
229,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,37,158,12.5,,4,,9
230,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,38,158,12.5,,4,,9
231,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,39,158,12.5,,4,,9
232,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,40,158,12.5,,4,,9
233,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,41,158,12.5,,4,,9
234,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,42,158,12.5,,4,,9
235,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,43,158,12.5,,4,,9
236,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,44,158,12.5,,4,,9
237,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,45,158,12.5,,4,,9
238,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,46,158,12.5,,4,,9
239,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,47,158,12.5,,4,,9
240,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,48,158,12.5,,4,,9
241,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,49,158,12.5,,4,,9
242,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,50,158,12.5,,4,,9
243,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,51,158,12.5,,4,,9
244,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,52,158,12.5,,4,,9
245,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,53,158,12.5,,4,,9
246,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,54,158,12.5,,4,,9
