Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
228,1969,1969-10-30T00:00:00,48,3,1,18
229,1969,1969-10-30T00:00:00,43,3,1,18
230,1969,1969-10-30T00:00:00,41,3,1,18
231,1969,1969-10-30T00:00:00,47,3,1,18
232,1969,1969-10-30T00:00:00,46,3,1,18
233,1969,1969-10-30T00:00:00,33,3,1,18
234,1969,1969-10-30T00:00:00,34,3,1,18
235,1969,1969-10-30T00:00:00,35,3,1,18
236,1969,1969-10-30T00:00:00,36,3,1,18
237,1969,1969-10-30T00:00:00,40,3,1,18
238,1969,1969-10-30T00:00:00,42,3,1,18
239,1969,1969-10-30T00:00:00,44,3,1,18
240,1969,1969-10-30T00:00:00,38,3,1,18
241,1969,1969-10-30T00:00:00,57,3,1,18
242,1969,1969-10-30T00:00:00,63,3,1,18
243,1969,1969-10-30T00:00:00,60,3,1,18
244,1969,1969-10-30T00:00:00,53,3,1,18
245,1969,1969-10-30T00:00:00,61,3,1,18
246,1969,1969-10-30T00:00:00,64,3,1,18
247,1969,1969-10-30T00:00:00,59,3,1,18
248,1969,1969-10-30T00:00:00,58,3,1,18
249,1969,1969-10-30T00:00:00,54,3,1,18
250,1969,1969-10-30T00:00:00,56,3,1,18
251,1969,1969-10-30T00:00:00,62,3,1,18
252,1969,1969-10-30T00:00:00,55,3,1,18
253,1969,1969-10-30T00:00:00,49,3,1,18
254,1969,1969-10-30T00:00:00,50,3,1,18
255,1969,1969-10-30T00:00:00,51,3,1,18
256,1969,1969-10-30T00:00:00,52,3,1,18
257,1970,1970-08-05T00:00:00,1,4,1,21
258,1970,1970-08-05T00:00:00,2,4,1,21
259,1970,1970-08-05T00:00:00,3,4,1,21
260,1970,1970-08-05T00:00:00,4,4,1,21
261,1970,1970-08-05T00:00:00,5,4,1,21
262,1970,1970-08-05T00:00:00,6,4,1,21
263,1970,1970-08-05T00:00:00,7,4,1,21
264,1970,1970-08-05T00:00:00,8,4,1,21
265,1970,1970-08-05T00:00:00,9,4,1,21
266,1970,1970-08-05T00:00:00,10,4,1,21
267,1970,1970-08-05T00:00:00,11,4,1,21
268,1970,1970-08-05T00:00:00,12,4,1,21
269,1970,1970-08-05T00:00:00,13,4,1,21
270,1970,1970-08-05T00:00:00,14,4,1,21
271,1970,1970-08-05T00:00:00,15,4,1,21
272,1970,1970-08-05T00:00:00,16,4,1,21
273,1970,1970-08-05T00:00:00,22,4,1,21
274,1970,1970-08-05T00:00:00,28,4,1,21
275,1970,1970-08-05T00:00:00,30,4,1,21
276,1970,1970-08-05T00:00:00,26,4,1,21
277,1970,1970-08-05T00:00:00,17,4,1,21
278,1970,1970-08-05T00:00:00,18,4,1,21
279,1970,1970-08-05T00:00:00,19,4,1,21
280,1970,1970-08-05T00:00:00,20,4,1,21
281,1970,1970-08-05T00:00:00,29,4,1,21
282,1970,1970-08-05T00:00:00,31,4,1,21
283,1970,1970-08-05T00:00:00,24,4,1,21
284,1970,1970-08-05T00:00:00,32,4,1,21
285,1970,1970-08-05T00:00:00,25,4,1,21
286,1970,1970-08-05T00:00:00,21,4,1,21
287,1970,1970-08-05T00:00:00,23,4,1,21
288,1970,1970-08-05T00:00:00,27,4,1,21
289,1970,1970-08-05T00:00:00,45,4,1,21
290,1970,1970-08-05T00:00:00,39,4,1,21
291,1970,1970-08-05T00:00:00,37,4,1,21
292,1970,1970-08-05T00:00:00,48,4,1,21
293,1970,1970-08-05T00:00:00,43,4,1,21
294,1970,1970-08-05T00:00:00,41,4,1,21
295,1970,1970-08-05T00:00:00,47,4,1,21
296,1970,1970-08-05T00:00:00,46,4,1,21
297,1970,1970-08-05T00:00:00,33,4,1,21
298,1970,1970-08-05T00:00:00,34,4,1,21
299,1970,1970-08-05T00:00:00,35,4,1,21
300,1970,1970-08-05T00:00:00,36,4,1,21
301,1970,1970-08-05T00:00:00,40,4,1,21
302,1970,1970-08-05T00:00:00,42,4,1,21
303,1970,1970-08-05T00:00:00,44,4,1,21
304,1970,1970-08-05T00:00:00,38,4,1,21
305,1970,1970-08-05T00:00:00,57,4,1,21
306,1970,1970-08-05T00:00:00,63,4,1,21
307,1970,1970-08-05T00:00:00,60,4,1,21
